[dotenv@17.2.3] injecting env (10) from .env -- tip: 🔐 prevent building .env in docker: https://dotenvx.com/prebuild
🔌 Frontend WebSocket server running on ws://localhost:5000
🚀 Marome Backend running on port 5000
📊 Correlation Matrix API: http://localhost:5000/api/correlation-matrix?period=30
🧪 EODHD Test: http://localhost:5000/api/test-eodhd-gold
💬 Marome Chat AI: http://localhost:5000/api/chat
📡 Initializing EODHD WebSockets...
📡 Connecting to EODHD WebSocket...
📡 Connecting to EODHD Forex WebSocket...
📡 Connecting to EODHD Crypto WebSocket...
✅ EODHD Forex WebSocket connected
💱 Subscribed to: 8 forex pairs + 3 metals
✅ EODHD WebSocket connected
📊 Subscribed to: 3 indices + 12 major US stocks
✅ Crypto WebSocket connected
💱 FOREX USDJPY: 154.3537 (-1.88%)
💱 FOREX USDCHF: 0.7636 (-1.60%)
💱 FOREX GBPUSD: 1.3676 (+0.49%)
₿ CRYPTO DOGE-USD: 0.09237029 (+0.00%)
₿ CRYPTO XRP-USD: 1.3995 (+0.00%)
₿ CRYPTO BNB-USD: 615.7119 (+0.00%)
₿ CRYPTO ETH-USD: 2003.6944 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7541 (+0.00%)
₿ CRYPTO LTC-USD: 53.1828 (+0.00%)
₿ CRYPTO ADA-USD: 0.26257835 (+0.00%)
₿ CRYPTO SOL-USD: 83.679 (+0.00%)
₿ CRYPTO BTC-USD: 68180.6118 (+0.00%)
₿ CRYPTO BNB-USD: 615.6983 (+0.00%)
₿ CRYPTO DOGE-USD: 0.09236764 (+0.00%)
₿ CRYPTO ETH-USD: 2003.5555 (+0.00%)
💱 FOREX USDJPY: 154.3691 (-1.87%)
💱 FOREX USDCHF: 0.7636 (-1.61%)
💱 FOREX GBPUSD: 1.3676 (+0.49%)
💱 FOREX AUDUSD: 0.7074 (+0.57%)
💱 FOREX EURUSD: 1.1913 (+0.74%)
🥇 COMMODITY XAUUSD: 5034.55 (+1.39%)
₿ CRYPTO AVAX-USD: 8.754 (+0.00%)
₿ CRYPTO ADA-USD: 0.26256418 (+0.00%)
₿ CRYPTO LTC-USD: 53.1814 (+0.00%)
₿ CRYPTO BTC-USD: 68170.5732 (-2.78%)
₿ CRYPTO SOL-USD: 83.6728 (+0.00%)
₿ CRYPTO XRP-USD: 1.3995 (+0.00%)
₿ CRYPTO DOGE-USD: 0.09236382 (+0.00%)
₿ CRYPTO BNB-USD: 615.5921 (+0.00%)
₿ CRYPTO ETH-USD: 2003.3715 (+0.00%)
₿ CRYPTO LTC-USD: 53.1816 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7535 (+0.00%)
₿ CRYPTO BTC-USD: 68164.4544 (-2.79%)
₿ CRYPTO SOL-USD: 83.6698 (+0.00%)
₿ CRYPTO XRP-USD: 1.3993 (+0.00%)
₿ CRYPTO ADA-USD: 0.26251543 (+0.00%)
₿ CRYPTO ETH-USD: 2003.3141 (+0.00%)
₿ CRYPTO DOGE-USD: 0.09236066 (+0.00%)
₿ CRYPTO BNB-USD: 615.5446 (+0.00%)
₿ CRYPTO LTC-USD: 53.1821 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7534 (+0.00%)
₿ CRYPTO BTC-USD: 68160.1149 (-2.80%)
💱 FOREX EURZAR: 19.0073 (+0.36%)
₿ CRYPTO DOGE-USD: 0.09235658 (+0.00%)
₿ CRYPTO XRP-USD: 1.3992 (+0.00%)
₿ CRYPTO BNB-USD: 615.5153 (+0.00%)
₿ CRYPTO ADA-USD: 0.26249105 (+0.00%)
₿ CRYPTO ETH-USD: 2003.3033 (+0.00%)
₿ CRYPTO LTC-USD: 53.181 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7537 (+0.00%)
₿ CRYPTO SOL-USD: 83.6711 (+0.00%)
💱 FOREX GBPZAR: 21.8191 (+0.12%)
₿ CRYPTO BTC-USD: 68157.5951 (-2.80%)
₿ CRYPTO DOGE-USD: 0.09235454 (+0.00%)
₿ CRYPTO XRP-USD: 1.3993 (+0.00%)
₿ CRYPTO BNB-USD: 615.5007 (+0.00%)
₿ CRYPTO ETH-USD: 2003.2329 (+0.00%)
₿ CRYPTO LTC-USD: 53.1813 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7535 (+0.00%)
₿ CRYPTO SOL-USD: 83.6718 (+0.00%)
₿ CRYPTO ADA-USD: 0.26248302 (+0.00%)
₿ CRYPTO BTC-USD: 68157.1226 (-2.80%)
₿ CRYPTO XRP-USD: 1.3993 (+0.00%)
₿ CRYPTO DOGE-USD: 0.09235352 (+0.00%)
₿ CRYPTO ETH-USD: 2003.2515 (+0.00%)
🥇 COMMODITY XAGUSD: 81.72 (+2.27%)
₿ CRYPTO BNB-USD: 615.5253 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7528 (+0.00%)
₿ CRYPTO LTC-USD: 53.1815 (+0.00%)
₿ CRYPTO SOL-USD: 83.6722 (+0.00%)
₿ CRYPTO ADA-USD: 0.26249151 (+0.00%)
₿ CRYPTO BTC-USD: 68155.3364 (-2.80%)
💱 FOREX EURUSD: 1.1913 (+0.74%)
💱 FOREX GBPUSD: 1.3676 (+0.49%)
₿ CRYPTO ETH-USD: 2003.2607 (+0.00%)
₿ CRYPTO DOGE-USD: 0.09236676 (+0.00%)
₿ CRYPTO XRP-USD: 1.3993 (+0.00%)
₿ CRYPTO LTC-USD: 53.1833 (+0.00%)
